region,year,age_group,cause,deaths
3_sear,2013,u5,5,9322.476674094796
6_wpr,2013,u5,5,518.7763217501342
2_amr,2014,u5,5,181.42164778709412
5_emr,2014,u5,5,12928.194135665894
3_sear,2014,u5,5,7620.850560054183
4_eur,2014,u5,5,84.46319055557251
1_afr,2014,u5,5,16937.08222311735
6_wpr,2014,u5,5,474.3430955372751
2_amr,2015,u5,5,170.20394384860992
4_eur,2015,u5,5,75.4515790939331
6_wpr,2015,u5,5,426.3124654311687
1_afr,2015,u5,5,15682.260702639818
5_emr,2015,u5,5,11726.572771072388
3_sear,2015,u5,5,6236.880988076329
2_amr,2016,u5,5,161.74137616157532
1_afr,2016,u5,5,14630.523559451103
3_sear,2016,u5,5,5913.9325319975615
5_emr,2016,u5,5,10634.089281082153
6_wpr,2016,u5,5,401.13579258322716
4_eur,2016,u5,5,67.90963578224182
1_afr,2017,u5,5,14544.035972386599
2_amr,2017,u5,5,156.40821927785873
4_eur,2017,u5,5,64.4682400226593
3_sear,2017,u5,5,5666.97872915864
5_emr,2017,u5,5,10438.258223056793
6_wpr,2017,u5,5,388.9263645866886
5_emr,2000,u5,6,36751.88671875
6_wpr,2000,u5,6,8495.633494257927
1_afr,2000,u5,6,320125.7316854
2_amr,2000,u5,6,1.7298541069030762
3_sear,2000,u5,6,117505.95823335648
4_eur,2000,u5,6,56.94444227218628
5_emr,2001,u5,6,38222.89544725418
2_amr,2001,u5,6,0.0
3_sear,2001,u5,6,134776.21862745285
6_wpr,2001,u5,6,7551.6040362119675
1_afr,2001,u5,6,290839.0953004956
4_eur,2001,u5,6,48.45029950141907
5_emr,2002,u5,6,34753.170583963394
3_sear,2002,u5,6,113596.01302814484
4_eur,2002,u5,6,65.3741484284401
1_afr,2002,u5,6,280527.25955587626
6_wpr,2002,u5,6,7255.4294855594635
2_amr,2002,u5,6,2.4966866970062256
6_wpr,2003,u5,6,6700.101509571075
4_eur,2003,u5,6,58.26407927274704
3_sear,2003,u5,6,121394.2983944416
1_afr,2003,u5,6,310263.8820005059
5_emr,2003,u5,6,38383.57677078247
2_amr,2003,u5,6,1.6930919885635376
4_eur,2004,u5,6,49.12254822254181
5_emr,2004,u5,6,29029.5143327713
6_wpr,2004,u5,6,5714.122544825077
1_afr,2004,u5,6,131745.52860724926
3_sear,2004,u5,6,144735.08751779795
2_amr,2004,u5,6,0.0
4_eur,2005,u5,6,65.74899393320084
2_amr,2005,u5,6,1.6974247694015503
6_wpr,2005,u5,6,5495.636702597141
5_emr,2005,u5,6,20436.967315733433
3_sear,2005,u5,6,101033.53418517113
1_afr,2005,u5,6,224419.06875389814
1_afr,2006,u5,6,74367.7755715251
2_amr,2006,u5,6,0.0
5_emr,2006,u5,6,17266.552401185036
4_eur,2006,u5,6,67.36501955986023
3_sear,2006,u5,6,124913.58334285021
6_wpr,2006,u5,6,4558.817215561867
5_emr,2007,u5,6,11022.873036980629
1_afr,2007,u5,6,45832.73656749725
6_wpr,2007,u5,6,5462.064773917198
2_amr,2007,u5,6,0.0
3_sear,2007,u5,6,77757.32727563381
4_eur,2007,u5,6,45.61530655622482
5_emr,2008,u5,6,8366.5149974823
6_wpr,2008,u5,6,4479.085746347904
3_sear,2008,u5,6,72752.61670696735
2_amr,2008,u5,6,0.0
4_eur,2008,u5,6,26.506013929843903
1_afr,2008,u5,6,73558.32754898071
5_emr,2009,u5,6,10402.145808935165
1_afr,2009,u5,6,63308.45744627714
6_wpr,2009,u5,6,3384.405977129936
4_eur,2009,u5,6,23.424434185028076
2_amr,2009,u5,6,0.0
3_sear,2009,u5,6,86248.6615024805
6_wpr,2010,u5,6,2461.2801889181137
4_eur,2010,u5,6,45.65495538711548
1_afr,2010,u5,6,59510.226178884506
3_sear,2010,u5,6,61846.30529785156
2_amr,2010,u5,6,0.0
5_emr,2010,u5,6,10553.366407990456
1_afr,2011,u5,6,92406.77519845963
4_eur,2011,u5,6,42.956247448921204
5_emr,2011,u5,6,34808.32830679417
3_sear,2011,u5,6,62129.04823756218
2_amr,2011,u5,6,0.0
6_wpr,2011,u5,6,1686.684126496315
2_amr,2012,u5,6,0.0
6_wpr,2012,u5,6,958.9879649877548
5_emr,2012,u5,6,27755.62368553877
3_sear,2012,u5,6,39431.21936798096
1_afr,2012,u5,6,62860.75307190418
4_eur,2012,u5,6,40.84082293510437
1_afr,2013,u5,6,97993.36888313293
5_emr,2013,u5,6,19996.038229465485
2_amr,2013,u5,6,1.4487571716308594
4_eur,2013,u5,6,40.0297966003418
3_sear,2013,u5,6,28396.567049503326
6_wpr,2013,u5,6,1282.6911263465881
2_amr,2014,u5,6,0.0
5_emr,2014,u5,6,31525.647570848465
3_sear,2014,u5,6,41013.083673000336
4_eur,2014,u5,6,37.48187804222107
1_afr,2014,u5,6,58899.60428905487
6_wpr,2014,u5,6,5182.577042102814
2_amr,2015,u5,6,0.0
4_eur,2015,u5,6,39.98628234863281
6_wpr,2015,u5,6,1824.3325864076614
1_afr,2015,u5,6,71848.8902130127
5_emr,2015,u5,6,26682.836606025696
3_sear,2015,u5,6,39949.48268055916
2_amr,2016,u5,6,0.0
1_afr,2016,u5,6,91225.23207300901
3_sear,2016,u5,6,29665.42911553383
5_emr,2016,u5,6,22235.64268529415
6_wpr,2016,u5,6,1444.5220195651054
4_eur,2016,u5,6,38.49410304427147
1_afr,2017,u5,6,43382.444175720215
2_amr,2017,u5,6,0.0
4_eur,2017,u5,6,37.33864188194275
3_sear,2017,u5,6,26659.347715377808
5_emr,2017,u5,6,20524.53373813629
6_wpr,2017,u5,6,1045.9622188210487
5_emr,2000,u5,7,42741.66062736511
6_wpr,2000,u5,7,15464.818160701543
1_afr,2000,u5,7,155705.4928831458
2_amr,2000,u5,7,8969.624865978956
3_sear,2000,u5,7,111982.75418639183
4_eur,2000,u5,7,5434.409860513173
5_emr,2001,u5,7,41738.53953123093
2_amr,2001,u5,7,7907.54075717926
3_sear,2001,u5,7,104227.44852042198
6_wpr,2001,u5,7,13599.616646219045
1_afr,2001,u5,7,158469.26766994596
4_eur,2001,u5,7,4879.871362702921
5_emr,2002,u5,7,41453.39964747429
3_sear,2002,u5,7,103709.37584853172
4_eur,2002,u5,7,4438.179352379404
1_afr,2002,u5,7,152313.46891495585
6_wpr,2002,u5,7,12160.3121499978
2_amr,2002,u5,7,6965.8407354056835
6_wpr,2003,u5,7,11070.955723520368
4_eur,2003,u5,7,4086.141670789104
3_sear,2003,u5,7,98546.57356452942
1_afr,2003,u5,7,159722.5138925016
5_emr,2003,u5,7,39367.68255805969
2_amr,2003,u5,7,6408.137214802206
4_eur,2004,u5,7,3702.693579965271
5_emr,2004,u5,7,39094.20021891594
6_wpr,2004,u5,7,9782.110194802284
1_afr,2004,u5,7,147554.42898073792
3_sear,2004,u5,7,93381.52468407154
2_amr,2004,u5,7,6072.698801219463
4_eur,2005,u5,7,3465.161346857436
2_amr,2005,u5,7,5663.3605892807245
6_wpr,2005,u5,7,9956.87340119481
5_emr,2005,u5,7,40226.65931534767
3_sear,2005,u5,7,84373.14701092243
1_afr,2005,u5,7,149174.27286052704
1_afr,2006,u5,7,121799.15142986178
2_amr,2006,u5,7,5409.318727530539
5_emr,2006,u5,7,39639.043721079826
4_eur,2006,u5,7,3235.1320147016086
3_sear,2006,u5,7,79925.91141688824
6_wpr,2006,u5,7,8494.753167469054
5_emr,2007,u5,7,38463.74020051956
1_afr,2007,u5,7,118099.19677907228
6_wpr,2007,u5,7,8310.431908003986
2_amr,2007,u5,7,4847.135940410197
3_sear,2007,u5,7,74990.5875812769
4_eur,2007,u5,7,3034.7176810312085
5_emr,2008,u5,7,35513.07549619675
6_wpr,2008,u5,7,8258.12333426997
3_sear,2008,u5,7,69849.47729188204
2_amr,2008,u5,7,4603.770521089435
4_eur,2008,u5,7,2707.894291687757
1_afr,2008,u5,7,130639.67052462697
